StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
50,0,201006,2.71,49.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,41.3,57.7
50,0,201007,4.56,52.1,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,45,59.1
50,0,201008,3.98,51.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,44.4,58.6
50,0,201009,3.19,42.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,34.1,51.4
50,0,201010,4.18,27.6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,21.5,33.7
50,0,201011,4.29,17.7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,12.3,23.2
50,0,201012,1.85,-2.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-8.5,3.6
50,0,201101,2.56,7,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.2,13.9
50,0,201102,2.86,6,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-2.7,14.7
50,0,201103,0.83,11.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,1.5,22.3
50,0,201104,1.65,23.2,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,14.1,32.3
50,0,201105,1.39,40.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,31.3,49.6
50,0,201106,2.58,49.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,42.2,57.5
50,0,201107,3.7,52.1,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,44.5,59.6
50,0,201108,6.06,49,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,41.8,56.1
50,0,201109,5.01,42.4,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,35.6,49.1
50,0,201110,4.16,28.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,22.9,34.2
